sim.id,method,component,x
1,lrvb,1,0
1,lrvb,2,0.00390967894592742
1,lrvb,3,5.707222361166e-05
1,lrvb,4,4.45578451564914e-05
1,lrvb,5,0.00390967894592742
1,lrvb,6,0
1,lrvb,7,3.45726474023562e-05
1,lrvb,8,2.69918109391738e-05
1,lrvb,9,5.70722236116351e-05
1,lrvb,10,3.4572647402345e-05
1,lrvb,11,0
1,lrvb,12,0.0156990672769409
1,lrvb,13,4.45578451564732e-05
1,lrvb,14,2.69918109391649e-05
1,lrvb,15,0.015699067276941
1,lrvb,16,0
1,mfvb,1,0
1,mfvb,2,0.00170582416403142
1,mfvb,3,0
1,mfvb,4,0
1,mfvb,5,0.00170582416403142
1,mfvb,6,0
1,mfvb,7,0
1,mfvb,8,0
1,mfvb,9,0
1,mfvb,10,0
1,mfvb,11,0
1,mfvb,12,0.0050827654934531
1,mfvb,13,0
1,mfvb,14,0
1,mfvb,15,0.0050827654934531
1,mfvb,16,0
1,mcmc,1,0
1,mcmc,2,0.00433687141216103
1,mcmc,3,0.000260195556512129
1,mcmc,4,0.000222138730713037
1,mcmc,5,0.00433687141216103
1,mcmc,6,0
1,mcmc,7,0.000251079077796717
1,mcmc,8,0.000213612825762808
1,mcmc,9,0.000260195556512129
1,mcmc,10,0.000251079077796717
1,mcmc,11,0
1,mcmc,12,0.0147787253526878
1,mcmc,13,0.000222138730713037
1,mcmc,14,0.000213612825762808
1,mcmc,15,0.0147787253526878
1,mcmc,16,0
2,lrvb,1,0
2,lrvb,2,0.00572819960027657
2,lrvb,3,0.00156817734007607
2,lrvb,4,0.000799297950843819
2,lrvb,5,0.00572819960027657
2,lrvb,6,0
2,lrvb,7,0.00306312879044664
2,lrvb,8,0.001561272760934
2,lrvb,9,0.0015681773400759
2,lrvb,10,0.00306312879044631
2,lrvb,11,0
2,lrvb,12,0.0339958008240511
2,lrvb,13,0.000799297950843736
2,lrvb,14,0.00156127276093384
2,lrvb,15,0.0339958008240511
2,lrvb,16,0
2,mfvb,1,0
2,mfvb,2,0.00209256241745215
2,mfvb,3,0
2,mfvb,4,0
2,mfvb,5,0.00209256241745215
2,mfvb,6,0
2,mfvb,7,0
2,mfvb,8,0
2,mfvb,9,0
2,mfvb,10,0
2,mfvb,11,0
2,mfvb,12,0.00778548968643454
2,mfvb,13,0
2,mfvb,14,0
